published_timestamp,course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,published_timestamp,subject,year,months,day,quarter,profit,duration_categroy,price_Cat
2013-03-08 12:22:12+00:00,45136,Weekly Options and study of Options expiration dynamics,https://www.udemy.com/weekly-options/,True,60,779,56,6,Expert Level,1.0,2013-03-08 12:22:12+00:00,Business Finance,2013,March,Friday,1,46740,0:3,55:100
2013-03-12 12:30:40+00:00,42651,Straddles and Strangles - Volatility moves in any direction,https://www.udemy.com/straddles-and-strangles/,True,60,775,54,11,Expert Level,1.5,2013-03-12 12:30:40+00:00,Business Finance,2013,March,Tuesday,1,46500,3:7,55:100
2013-03-15 16:13:42+00:00,45941,The CSS and CSS3 Crash Course,https://www.udemy.com/the-css-and-css3-crash-course/,True,150,2051,99,76,All Levels,13.0,2013-03-15 16:13:42+00:00,Web Development,2013,March,Friday,1,307650,30+,105:150
2013-03-22 17:42:18+00:00,46927,Basics of Business Finance,https://www.udemy.com/basics-of-business-finance/,True,30,4855,64,24,Beginner Level,4.0,2013-03-22 17:42:18+00:00,Business Finance,2013,March,Friday,1,145650,20:30,20:50
2013-03-25 01:44:54+00:00,41356,Create a Responsive Business Website with WordPress,https://www.udemy.com/creating-a-business-website-with-a-responsive-design/,True,95,1659,73,38,All Levels,5.5,2013-03-25 01:44:54+00:00,Web Development,2013,March,Monday,1,157605,20:30,55:100
2013-04-04 21:36:10+00:00,46010,TechniTrader Leading Hybrid Indicator Trading,https://www.udemy.com/leading-hybrid-indicator-trading/,True,20,4117,54,5,Intermediate Level,1.0,2013-04-04 21:36:10+00:00,Business Finance,2013,April,Thursday,2,82340,0:3,20:50
2013-04-07 21:39:25+00:00,48841,Accounting in 60 Minutes - A Brief Introduction,https://www.udemy.com/accounting-in-60-minutes-a-brief-introduction/,False,0,56659,4397,16,Beginner Level,1.5,2013-04-07 21:39:25+00:00,Business Finance,2013,April,Sunday,2,0,3:7,Free
2013-04-08 00:46:14+00:00,47963,"Coding for Entrepreneurs: Learn Python, Django, and More.",https://www.udemy.com/coding-for-entrepreneurs/,True,195,23412,799,251,All Levels,45.0,2013-04-08 00:46:14+00:00,Web Development,2013,April,Monday,2,4565340,30+,155:200
2013-04-17 02:55:10+00:00,12975,Introduction to Java Programming for Online Learners,https://www.udemy.com/learning-to-program-in-java-a-supplement-for-online-academic-learners/,True,200,1586,87,124,Beginner Level,22.0,2013-04-17 02:55:10+00:00,Web Development,2013,April,Wednesday,2,317200,30+,155:200
2013-04-17 19:33:22+00:00,49886,Business Analysis:  Working with Use Cases,https://www.udemy.com/usecases/,True,90,2338,224,5,All Levels,1.5,2013-04-17 19:33:22+00:00,Business Finance,2013,April,Wednesday,2,210420,3:7,55:100
